"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x2b05c9ce1172d186f14ebef98044be6ca779437746f967bf4534811b0b2b8b9a","14087548","1643285176","2022-01-27 12:06:16","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","1,999,967","$2,004,585.07","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xfcf57ec7275848fc09309152c895246eded9db94a76bf40b65ee695000152b64","14088268","1643294833","2022-01-27 14:47:13","0x503828976d22510aad0201ac7ec88293211d23da","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","100","$100.23","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x39353e509555acd693ecfeaa9f1d1a0fca37b8cf8869757d2a7fa47fb036a4be","14088274","1643294858","2022-01-27 14:47:38","0xcd531ae9efcce479654c4926dec5f6209531ca7b","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","5,000,000","$5,011,545.36","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x4b4f2f9ea6d1fa821ec914c459ad57e138e909a2db78ce20d7682330e6017b20","14088654","1643299452","2022-01-27 16:04:12","0x14633ea8d5d75f895dfb9d15fe82d0042e7ee042","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","1,252,521.299","$1,261,336.46","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x78cabd89ab37cb8143c51d6aff8d9617e93330c2ecdbcf8fdf563a636bad6d69","14088732","1643300462","2022-01-27 16:21:02","0x503828976d22510aad0201ac7ec88293211d23da","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","5,000,000","$5,011,545.36","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x03fc35acbb7230e43065e094d8a8d4cfd3315e9320c7813095a18a3e9afcad4a","14089177","1643306195","2022-01-27 17:56:35","0x503828976d22510aad0201ac7ec88293211d23da","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","9,999,900","$10,022,990.48","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xe201c5c2bed6b602a7591b2d9cc71db7fa7deccae84c4058d641329b0ad312ea","14089594","1643311702","2022-01-27 19:28:22","0xe5de8eb49d1918cf44b906d769a4fa57f4ae23b1","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","14,508,485","$14,610,594.73","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xd1edcc7b853d83ead62c20f6488dfd6daa6a950ae5b2ea7f4afd6afd8498af9f","14089612","1643312011","2022-01-27 19:33:31","0xae2d4617c862309a3d75a0ffb358c7a5009c673f","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","100","$100.23","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xf07a91cd7d9e5e37e91b2e4f52b4c2a22b6ad82e42787673c5a7ed84d8c4f3e6","14090462","1643323325","2022-01-27 22:42:05","0xae2d4617c862309a3d75a0ffb358c7a5009c673f","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","5,999,900","$6,013,754.20","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x2a43752a943c0ad97381eac2da6a898896de6a173c81537b6517ac1632e31ed7","14091290","1643334318","2022-01-28 01:45:18","0xcfbba243c567738c2d3d958026b1bf6ad894a19e","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","50","$50.02","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x2a482bf5fea5d7a84d4afde944514098f886611396fb709be560158bea37800d","14093300","1643361359","2022-01-28 09:15:59","0xfacf46ea1e0ad2681103e726f64cfc503e9da5d6","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","50","$50.02","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x10f2661f83c58593e7d7f88fc8e5eea70ab57fa2e47c9349f37286ca7fcc9a54","14094778","1643381029","2022-01-28 14:43:49","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","0x21ec2dbb3bfd2210a84bbc924466a70becddd572","60,000,000","$60,110,074.20","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x3869beea05772275800cac1e4d104c8ca824fde832f2dc7012504fa9d2192537","14095002","1643383906","2022-01-28 15:31:46","0xae2d4617c862309a3d75a0ffb358c7a5009c673f","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","6,000,000","$6,002,103.61","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xb58fd893b3fade2b727a2c742e59210ab4c26867539cd3ce6c8204da8ea91600","14095357","1643388688","2022-01-28 16:51:28","0xfacf46ea1e0ad2681103e726f64cfc503e9da5d6","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","4,999,950","$5,001,702.99","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x07c5d1c383c7d547b0cd8ba6ca7d5aa5f11744f11ad7412d7bc87e9ff2479016","14096148","1643399354","2022-01-28 19:49:14","0x7abe0ce388281d2acf297cb089caef3819b13448","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","90","$90.03","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
